Country Name,Country Code,Year,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population)_scaled,Population growth (annual %)_scaled,People using safely managed sanitation services (% of population)_scaled,Access to electricity (% of population)_scaled,People using at least basic drinking water services (% of population)_scaled,Population living in slums (% of urban population)_scaled,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)_scaled",GDP growth (annual %)_scaled,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)_scaled,"Population, total_scaled","Life expectancy at birth, total (years)_scaled",GDP per capita (current US$)_scaled
Jamaica,JAM,2002,0.06743940990516333,0.3621278822402865,,0.8659274193548387,0.9193863977819161,,0.6538661926507092,0.38724258804765366,0.33485181860397345,-0.23204322328991817,0.06633782518339693,-0.2636613477541079
Canada,CAN,2001,0.002107481559536354,0.37640587928599767,0.773959340063287,1.0,0.990549537688378,,0.6485181893407705,0.3864026197016969,1.744916218899268,-0.01470749243160249,0.9674432109888788,0.9164647684370539
St. Vincent and the Grenadines,VCT,2008,,0.32987365479534136,,0.9002016129032258,0.959684053623542,,0.6400441325201506,0.37629451832791855,-0.7705098508004418,-0.25141442878417863,-0.03230530078043401,0.10523271072422265
Botswana,BWA,2008,,0.4042975703829282,,0.44052419354838707,0.7582585515142788,0.5029955160940482,0.5929081491924361,0.39586811142255324,-0.07764052461371913,-0.23733184181434283,-1.5056945524893444,-0.00951701966870445
Zimbabwe,ZWE,2000,,0.3712990982683018,0.27587427771822404,0.3316532258064516,0.6540653295531405,0.2757529018342013,0.6508780532654999,0.35248372799755034,-0.5018141287976078,-0.16119552175965918,-2.828559172537182,-1.4498236472455905
Moldova,MDA,2016,0.002107481559536354,0.30836514250028024,,0.998991935483871,0.8694436773550462,0.06512644951437711,0.7173986331177784,0.4054502332856971,0.12501220088881812,-0.23079792800735194,-0.08145620091466198,-0.42590262923730365
Panama,PAN,2022,,0.3818487459907441,,0.9495967741935484,0.9342279125050583,0.16331709647451492,0.662370897054767,0.44754495462950616,0.048264880692890796,-0.2185636335764351,0.9590182938249501,0.7154780930331874
St. Kitts and Nevis,KNA,2003,,0.35378465160734923,,0.9596774193548387,0.981397277886177,,,0.34647433629675306,-0.46879117614865196,-0.25191106431165466,-0.03196397508505741,0.37891197499863677
Spain,ESP,2010,0.0073761854583772385,0.3574752027823529,0.903649917654506,1.0,0.9999999605990908,,0.5557326304820863,0.37415997661105804,0.7601127761020844,0.10442041610026996,1.2210232276027997,1.075914515193457
Nigeria,NGA,2023,,0.4070254175392265,,0.6088709677419355,,,0.9125164730760977,0.39317443234876115,-0.8814743282883851,1.4928590885093105,-1.869661518992572,-0.7912743993215653
